Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-03-08,2016,3,8,Tuesday,10,2016-10,199.32,199.92,198.21,198.4,123974900,175.73,-0.01091781907449696,173.66,170.23933333333332
2016-03-09,2016,3,9,Wednesday,10,2016-10,199.36,199.79,198.43,199.38,94801200,176.6,0.004939268977077083,174.12142857142857,170.37760869565219
2016-03-10,2016,3,10,Thursday,10,2016-10,199.96,201.07,197.38,199.54,156838700,176.74,0.0008026910975076351,174.59857142857143,170.51297872340425
2016-03-11,2016,3,11,Friday,10,2016-10,201.26,202.81,199.52,202.76,137964500,179.59,0.016137036299676666,175.10357142857143,170.70208333333335
2016-03-14,2016,3,14,Monday,11,2016-11,202.16,203.04,201.77,202.5,73612000,179.36,-0.0012822679387729519,175.74714285714285,170.87877551020406
2016-03-15,2016,3,15,Tuesday,11,2016-11,201.36,202.53,201.05,202.17,93169100,179.07,-0.0016295638528283085,176.31500000000003,171.0426
2016-03-16,2016,3,16,Wednesday,11,2016-11,201.6,203.82,201.55,203.34,129303200,180.11,0.005787214955207842,176.8085714285714,171.0838
2016-03-17,2016,3,17,Thursday,11,2016-11,203.24,205.23,202.77,204.63,134278500,181.25,0.0063439980209158975,177.41214285714287,171.1418
2016-03-18,2016,3,18,Friday,11,2016-11,204.17,204.78,203.8,204.38,138372400,181.96,0.00392984833462573,178.16357142857143,171.25900000000001
2016-03-21,2016,3,21,Monday,12,2016-12,204.07,204.94,203.8,204.67,72926700,182.22,0.001418532375804471,178.6457142857143,171.46580000000003
2016-03-22,2016,3,22,Tuesday,12,2016-12,203.76,205.23,203.57,204.56,97471900,182.12,-0.0005373509127554188,179.06428571428572,171.7084
2016-03-23,2016,3,23,Wednesday,12,2016-12,204.11,204.33,203.01,203.21,81052500,180.92,-0.006599304595534372,179.34785714285712,171.92359999999996
2016-03-24,2016,3,24,Thursday,12,2016-12,202.0,203.16,201.74,203.12,84360900,180.84,-0.00044295503297953065,179.58428571428573,172.1098
2016-03-28,2016,3,28,Monday,13,2016-13,203.61,203.86,202.71,203.24,62408200,180.95,0.0005908965646659325,179.81857142857143,172.3838
2016-03-29,2016,3,29,Tuesday,13,2016-13,202.76,205.25,202.4,205.12,92922900,182.62,0.00925000115950736,180.31071428571428,172.63620000000003
2016-03-30,2016,3,30,Wednesday,13,2016-13,206.3,206.87,205.59,206.02,86365300,183.42,0.004387636010700469,180.79785714285714,172.97760000000002
2016-03-31,2016,3,31,Thursday,13,2016-13,205.91,206.41,205.33,205.52,94584100,182.98,-0.002426982548752621,181.2435714285714,173.3058
2016-04-01,2016,4,1,Friday,13,2016-13,204.35,207.14,203.98,206.92,114423500,184.22,0.006812150659207816,181.5742857142857,173.7014
2016-04-04,2016,4,4,Monday,14,2016-14,206.83,207.07,205.89,206.25,63497000,183.63,-0.003238246158724145,181.87928571428571,174.0668
2016-04-05,2016,4,5,Tuesday,14,2016-14,204.67,206.26,203.89,204.19,99662200,181.79,-0.009987862829195615,182.0735714285714,174.3276
2016-04-06,2016,4,6,Wednesday,14,2016-14,204.19,206.49,203.98,206.42,91839800,183.78,0.010921350679890196,182.33571428571432,174.6792
2016-04-07,2016,4,7,Thursday,14,2016-14,205.14,205.56,203.09,203.95,113859000,181.58,-0.011965848299742232,182.35928571428573,174.9414
2016-04-08,2016,4,8,Friday,14,2016-14,205.34,205.85,203.87,204.5,95040600,182.07,0.0026966590503625376,182.36714285714288,175.2502
2016-04-11,2016,4,11,Monday,15,2016-15,205.25,206.07,203.91,204.02,83757500,181.64,-0.002347049949715019,182.32571428571427,175.533
2016-04-12,2016,4,12,Tuesday,15,2016-15,204.22,206.25,203.7,205.92,115350600,183.33,0.009312839933148576,182.41214285714287,175.7678
2016-04-13,2016,4,13,Wednesday,15,2016-15,207.0,208.1,206.84,208.0,96336400,185.18,0.010100829348335782,182.71642857142857,176.041
2016-04-14,2016,4,14,Thursday,15,2016-15,208.07,208.6,207.6,208.01,65212900,185.19,4.812043952751033e-05,183.02714285714282,176.37619999999998
2016-04-15,2016,4,15,Friday,15,2016-15,208.01,208.17,207.4,207.78,75761600,184.99,-0.0011057281248539885,183.31571428571428,176.68720000000002
2016-04-18,2016,4,18,Monday,16,2016-16,207.78,209.28,207.0,209.24,82531000,186.29,0.007026506389019138,183.57785714285714,177.01879999999997
2016-04-19,2016,4,19,Tuesday,16,2016-16,209.74,210.2,208.94,209.9,88316100,186.88,0.0031545069510221513,183.82500000000002,177.42700000000002
2016-04-20,2016,4,20,Wednesday,16,2016-16,209.95,210.92,209.39,210.1,81100300,187.05,0.0009526355515390161,184.1157142857143,177.8834
2016-04-21,2016,4,21,Thursday,16,2016-16,210.12,210.25,208.65,208.97,85695000,186.05,-0.005378283890933977,184.2464285714286,178.31960000000004
2016-04-22,2016,4,22,Friday,16,2016-16,208.55,209.29,207.91,208.97,99251700,186.05,0.0,184.4192857142857,178.7586
2016-04-25,2016,4,25,Monday,17,2016-17,208.26,208.66,207.54,208.61,66166500,185.73,-0.0017225722827515222,184.70071428571427,179.23379999999997
2016-04-26,2016,4,26,Tuesday,17,2016-17,209.04,209.52,208.36,208.92,75864200,186.0,0.0014859746813311592,184.8592857142857,179.64759999999998
2016-04-27,2016,4,27,Wednesday,17,2016-17,208.47,209.81,208.05,209.35,77329400,186.39,0.0020580979525994803,185.20285714285714,180.0134
2016-04-28,2016,4,28,Thursday,17,2016-17,208.46,209.76,206.96,207.45,97216200,184.69,-0.009075820320354033,185.39000000000001,180.29039999999998
2016-04-29,2016,4,29,Friday,17,2016-17,206.72,207.13,205.03,206.33,142424100,183.7,-0.005398738925571078,185.53714285714287,180.5616
2016-05-02,2016,5,2,Monday,18,2016-18,206.92,208.18,206.41,207.97,62188000,185.16,0.007948316340465222,185.66785714285714,180.86360000000002
2016-05-03,2016,5,3,Tuesday,18,2016-18,206.52,206.8,205.28,206.16,106422100,183.55,-0.00870322743550933,185.5514285714286,181.08419999999998
2016-05-04,2016,5,4,Wednesday,18,2016-18,204.99,205.85,204.42,205.01,92243800,182.52,-0.005578170158340057,185.3607142857143,181.3276
2016-05-05,2016,5,5,Thursday,18,2016-18,205.56,205.98,204.47,204.97,67619200,182.49,-0.00019503825358080373,185.18214285714285,181.555
2016-05-06,2016,5,6,Friday,18,2016-18,204.06,205.77,203.88,205.72,89315000,183.15,0.0036588721713413097,184.95785714285714,181.75400000000002
2016-05-09,2016,5,9,Monday,19,2016-19,205.57,206.4,205.36,205.89,74374900,183.31,0.00082644758918482,184.7028571428571,181.9642
2016-05-10,2016,5,10,Tuesday,19,2016-19,206.72,208.47,206.64,208.45,77472200,185.58,0.01243392526209508,184.59785714285712,182.247
2016-05-11,2016,5,11,Wednesday,19,2016-19,207.91,208.54,206.5,206.5,81727000,183.85,-0.00935451356882988,184.44071428571428,182.41460000000004
2016-05-12,2016,5,12,Thursday,19,2016-19,207.29,207.49,205.37,206.56,89586300,183.9,0.00029023885321377563,184.2871428571429,182.56740000000002
2016-05-13,2016,5,13,Friday,19,2016-19,206.21,206.86,204.38,204.76,96474600,182.3,-0.008714263975505232,184.04214285714286,182.6744
2016-05-16,2016,5,16,Monday,20,2016-20,204.96,207.34,204.89,206.78,77486800,184.1,0.009865434218385483,183.90642857142856,182.80579999999998
2016-05-17,2016,5,17,Tuesday,20,2016-20,206.46,206.8,204.23,204.85,114924900,182.38,-0.009333833511589562,183.61999999999998,182.9
2016-05-18,2016,5,18,Wednesday,20,2016-20,204.44,206.3,203.63,204.91,120062100,182.43,0.00029316241339927274,183.4585714285714,183.034
2016-05-19,2016,5,19,Thursday,20,2016-20,204.06,204.54,202.78,204.2,115430500,181.8,-0.003464977149819415,183.32285714285715,183.138
2016-05-20,2016,5,20,Friday,20,2016-20,204.92,206.1,204.86,205.49,104990400,182.95,0.006317346533164292,183.165,183.26219999999998
2016-05-23,2016,5,23,Monday,21,2016-21,205.51,205.84,204.99,205.21,58682600,182.7,-0.0013626623509853664,183.1042857142857,183.3244
2016-05-24,2016,5,24,Tuesday,21,2016-21,206.17,208.24,206.14,207.87,93537800,185.07,0.012962371839104314,183.28642857142856,183.4386
2016-05-25,2016,5,25,Wednesday,21,2016-21,208.67,209.77,207.87,209.28,76621400,186.32,0.006783041448209737,183.56,183.58360000000002
2016-05-26,2016,5,26,Thursday,21,2016-21,209.44,209.71,208.97,209.34,55280700,186.38,0.0002867929707714989,183.7907142857143,183.709
2016-05-27,2016,5,27,Friday,21,2016-21,209.53,210.25,209.47,210.24,64211200,187.18,0.004299023750734987,184.06714285714287,183.82760000000002
2016-05-31,2016,5,31,Tuesday,22,2016-22,210.56,210.69,209.18,209.84,109879400,186.82,-0.001902516452593539,184.15571428571428,183.9248
2016-06-01,2016,6,1,Wednesday,22,2016-22,209.12,210.48,208.89,210.27,69936200,187.2,0.0020493200800126843,184.39499999999998,184.02439999999999
2016-06-02,2016,6,2,Thursday,22,2016-22,209.8,210.93,209.24,210.91,63044700,187.77,0.0030436076821405145,184.67142857142858,184.13739999999999
2016-06-03,2016,6,3,Friday,22,2016-22,210.25,210.69,208.86,210.28,101757100,187.21,-0.0029870782597601897,185.02214285714285,184.26320000000004
2016-06-06,2016,6,6,Monday,23,2016-23,210.7,211.77,210.51,211.35,64887000,188.17,0.005088739764448347,185.31285714285715,184.40980000000002
2016-06-07,2016,6,7,Tuesday,23,2016-23,211.53,212.34,211.5,211.68,60974800,188.46,0.0015610199452937845,185.74714285714285,184.56
2016-06-08,2016,6,8,Wednesday,23,2016-23,211.84,212.52,211.69,212.37,66170900,189.07,0.0032598352302348754,186.2214285714286,184.68899999999996
2016-06-09,2016,6,9,Thursday,23,2016-23,211.51,212.22,211.19,212.08,73786900,188.82,-0.001365485954419432,186.72285714285712,184.79699999999997
2016-06-10,2016,6,10,Friday,23,2016-23,210.46,210.86,209.43,210.07,113829200,187.03,-0.00947764769695969,187.01428571428573,184.878
2016-06-13,2016,6,13,Monday,24,2016-24,209.36,210.37,208.35,208.45,117751200,185.58,-0.00771176032231069,187.22,184.9052
2016-06-14,2016,6,14,Tuesday,24,2016-24,208.0,208.74,206.92,208.04,125059300,185.22,-0.001967034494881892,187.2307142857143,184.93699999999998
